date,days,rate
01/02/2019,7,2.447779
01/02/2019,14,2.4744
01/02/2019,49,2.699491
01/02/2019,77,2.721466
01/02/2019,105,2.727674
01/02/2019,133,2.729138
01/02/2019,168,2.729079
01/02/2019,259,2.728769
01/02/2019,350,2.723385
01/02/2019,441,2.718144
01/02/2019,532,2.697468
01/02/2019,623,2.673266
01/02/2019,714,2.650097
01/02/2019,805,2.633876
01/02/2019,896,2.617367
01/02/2019,987,2.602973
01/02/2019,1078,2.591435
01/02/2019,1169,2.584831
01/02/2019,1260,2.580273
01/02/2019,1358,2.577093
01/02/2019,1449,2.575829
01/02/2019,1533,2.576487
01/02/2019,1631,2.578906
01/02/2019,1722,2.582804
01/02/2019,1813,2.58808
01/02/2019,1904,2.594777
01/02/2019,1995,2.602011
01/02/2019,2086,2.610152
01/02/2019,2177,2.619085
01/02/2019,2268,2.629119
01/02/2019,2359,2.639155
01/02/2019,2450,2.64938
01/02/2019,2541,2.659775
01/02/2019,2632,2.670146
01/02/2019,2723,2.679992
01/02/2019,2814,2.68969
01/02/2019,2905,2.699253
01/02/2019,2996,2.708846
01/02/2019,3087,2.718171
01/02/2019,3178,2.727249
01/02/2019,3269,2.735963
01/02/2019,3360,2.748291
01/02/2019,3458,2.761099
01/02/2019,3549,2.773674
01/02/2019,3640,2.785745
01/03/2019,7,2.445914
01/03/2019,13,2.470869
01/03/2019,48,2.692164
01/03/2019,76,2.704083
01/03/2019,104,2.701412
01/03/2019,132,2.693434
01/03/2019,167,2.682843
01/03/2019,258,2.665095
01/03/2019,349,2.638217
01/03/2019,440,2.617247
01/03/2019,531,2.582742
01/03/2019,622,2.548748
01/03/2019,713,2.517642
01/03/2019,804,2.494719
01/03/2019,895,2.473383
01/03/2019,986,2.455519
01/03/2019,1077,2.441526
01/03/2019,1168,2.433247
01/03/2019,1259,2.427623
01/03/2019,1357,2.423826
01/03/2019,1448,2.422062
01/03/2019,1532,2.422584
01/03/2019,1630,2.425177
01/03/2019,1721,2.429482
01/03/2019,1812,2.435126
01/03/2019,1903,2.442397
01/03/2019,1994,2.450384
01/03/2019,2085,2.459213
01/03/2019,2176,2.468988
01/03/2019,2267,2.479797
01/03/2019,2358,2.490938
01/03/2019,2449,2.502186
01/03/2019,2540,2.513711
01/03/2019,2631,2.525134
01/03/2019,2722,2.535962
01/03/2019,2813,2.546578
01/03/2019,2904,2.55716
01/03/2019,2995,2.56771
01/03/2019,3086,2.577935
01/03/2019,3177,2.587862
01/03/2019,3268,2.597377
01/03/2019,3359,2.610466
01/03/2019,3457,2.62405
01/03/2019,3548,2.637305
01/03/2019,3639,2.650023
01/04/2019,7,2.442804
01/04/2019,12,2.465595
01/04/2019,47,2.721884
01/04/2019,75,2.737975
01/04/2019,103,2.738442
01/04/2019,131,2.735465
01/04/2019,166,2.729808
01/04/2019,257,2.723889
01/04/2019,348,2.709216
01/04/2019,439,2.69645
01/04/2019,530,2.669043
01/04/2019,621,2.640808
01/04/2019,712,2.615284
01/04/2019,803,2.597257
01/04/2019,894,2.579823
01/04/2019,985,2.565611
01/04/2019,1076,2.554654
