date,days,rate
01/04/2010,7,0.210715
01/04/2010,14,0.226871
01/04/2010,16,0.228002
01/04/2010,44,0.250647
01/04/2010,72,0.271447
01/04/2010,107,0.297055
01/04/2010,135,0.326903
01/04/2010,163,0.360425
01/04/2010,254,0.458144
01/04/2010,345,0.605728
01/04/2010,436,0.779257
01/04/2010,527,0.962602
01/04/2010,625,1.161954
01/04/2010,716,1.343735
01/04/2010,807,1.521422
01/04/2010,898,1.692157
01/04/2010,989,1.857376
01/04/2010,1080,2.015495
01/04/2010,1171,2.167377
01/04/2010,1262,2.310383
01/04/2010,1353,2.445961
01/04/2010,1444,2.574878
01/04/2010,1535,2.698315
01/04/2010,1626,2.814945
01/04/2010,1717,2.925583
01/04/2010,1808,3.030629
01/04/2010,1899,3.131124
01/04/2010,1990,3.225632
01/04/2010,2081,3.315595
01/04/2010,2172,3.400953
01/04/2010,2263,3.482866
01/04/2010,2354,3.559992
01/04/2010,2452,3.63913
01/04/2010,2543,3.709048
01/04/2010,2627,3.771783
01/04/2010,2725,3.840943
01/04/2010,2816,3.902568
01/04/2010,2907,3.961586
01/04/2010,2998,4.018841
01/04/2010,3089,4.073164
01/04/2010,3180,4.125379
01/04/2010,3271,4.175522
01/04/2010,3362,4.224438
01/04/2010,3453,4.270907
01/04/2010,3544,4.315631
01/04/2010,3635,4.358741
01/05/2010,7,0.210715
01/05/2010,14,0.225628
01/05/2010,15,0.226232
01/05/2010,43,0.250556
01/05/2010,71,0.267687
01/05/2010,106,0.291431
01/05/2010,134,0.316323
01/05/2010,162,0.34575
01/05/2010,253,0.432749
01/05/2010,344,0.571427
01/05/2010,435,0.735621
01/05/2010,526,0.909402
01/05/2010,624,1.099224
01/05/2010,715,1.273855
01/05/2010,806,1.446582
01/05/2010,897,1.613873
01/05/2010,988,1.776285
01/05/2010,1079,1.932069
01/05/2010,1170,2.08198
01/05/2010,1261,2.223295
01/05/2010,1352,2.35707
01/05/2010,1443,2.48441
01/05/2010,1534,2.606456
01/05/2010,1625,2.721568
01/05/2010,1716,2.830849
01/05/2010,1807,2.934672
01/05/2010,1898,3.03406
01/05/2010,1989,3.127561
01/05/2010,2080,3.216604
01/05/2010,2171,3.301118
