"","secid","date","exdate","last_date","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility","delta","gamma","vega","theta","optionid","cfadj","forward_price","index_flag","issuer","div_convention","exercise_style","SPOT","moneyness","price","TM","TTM","interest","own_impvol"
"2085",108105,2010-01-06,2010-02-20,"01/06/2010","C",1125,31.1,32.9,5112,25590,0.173819,0.567509,0.005778,153.005,-100.9777,45586189,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.01079111111111,32,45,30,0.249092571428571,0.162388569437159
"2087",108105,2010-01-06,2010-02-20,"01/06/2010","C",1135,25.4,26.7,186,11041,0.168708,0.508417,0.006042,155.2818,-100.5346,46438717,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.00188546255507,26.05,45,30,0.249092571428571,0.158582659835267
"2092",108105,2010-01-06,2010-02-20,"01/06/2010","C",1160,13.5,14.8,2864,7897,0.157755,0.350979,0.006012,144.4883,-89.39709,46471887,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.980293103448276,14.15,45,30,0.249092571428571,0.15012628249017
"2095",108105,2010-01-06,2010-02-20,"01/06/2010","C",1175,8.6,9.5,1211,16001,0.151907,0.259324,0.005457,126.2809,-75.99323,46606199,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.967778723404255,9.05,45,30,0.249092571428571,0.145376725595862
"2097",108105,2010-01-06,2010-02-20,"01/06/2010","C",1185,6.1,7,411,11038,0.149106,0.205003,0.004877,110.7858,-65.82387,46335955,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.959611814345992,6.55,45,30,0.249092571428571,0.14316541889635
"2099",108105,2010-01-06,2010-02-20,"01/06/2010","C",1195,4.3,5.1,243,516,0.147514,0.15887,0.004203,94.44569,-55.81048,46195517,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.951581589958159,4.7,45,30,0.249092571428571,0.142056387866997
"2105",108105,2010-01-06,2010-03-20,"01/06/2010","C",1125,40.9,42.7,4714,51651,0.189411,0.548682,0.004149,197.6493,-84.78398,46535430,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.01079111111111,41.8,73,50,0.263555171428571,0.174568325271535
"2107",108105,2010-01-06,2010-03-20,"01/06/2010","C",1135,35,36.8,13122,2689,0.184708,0.506117,0.004288,199.232,-84.04096,45914794,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.00188546255507,35.9,73,50,0.263555171428571,0.171056830788505
"2115",108105,2010-01-06,2010-03-20,"01/06/2010","C",1175,16.6,17.9,1604,25850,0.168449,0.324585,0.004248,179.9827,-71.17921,46284258,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.967778723404255,17.25,73,50,0.263555171428571,0.158472182226018
"2120",108105,2010-01-06,2010-03-20,"01/06/2010","C",1100,57.3,59.1,10343,103282,0.201003,0.645054,0.003668,185.4613,-82.34193,45338004,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,1.03376363636364,58.2,73,50,0.263555171428571,0.182559670483565
"2122",108105,2010-01-06,2010-04-17,"01/06/2010","C",1150,34.8,36.6,6910,3522,0.187078,0.450922,0.003556,233.3344,-71.12645,46273929,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.988817391304348,35.7,101,69,0.277472771428571,0.173622771022773
"2133",108105,2010-01-06,2010-06-19,"01/06/2010","C",1150,48.5,50.8,398,62323,0.198095,0.464566,0.002626,298.54,-57.21102,45904764,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.988817391304348,49.65,164,113,0.330255945054945,0.180438973382141
"2673",108105,2010-01-06,2010-02-20,"01/06/2010","C",1210,2.4,2.9,639,3533,0.144226,0.101193,0.003143,69.04691,-40.15132,46430932,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.939785123966942,2.65,45,30,0.249092571428571,0.139393276031298
"2675",108105,2010-01-06,2010-02-20,"01/06/2010","C",1220,1.7,2,1449,6424,0.144237,0.074817,0.002508,55.11433,-32.17666,45734061,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.932081967213115,1.85,45,30,0.249092571428571,0.139707003317884
"2677",108105,2010-01-06,2010-02-20,"01/06/2010","C",1230,1.15,1.65,219,941,0.147235,0.05798,0.002017,45.23794,-27.05806,46609256,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.924504065040651,1.4,45,30,0.249092571428571,0.142902096196511
"2681",108105,2010-01-06,2010-02-20,"01/06/2010","C",1250,0.6,0.75,581,9773,0.148587,0.030512,0.001189,26.92046,-16.33983,44980347,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.909712,0.675,45,30,0.249092571428571,0.144661015707504
"2696",108105,2010-01-06,2010-03-20,"01/06/2010","C",1225,4.6,5.4,1205,12161,0.154117,0.132334,0.002767,107.2733,-39.7489,46288398,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.928277551020408,5,73,50,0.263555171428571,0.146940371314762
"2711",108105,2010-01-06,2010-03-20,"01/06/2010","C",1200,9.5,10,3654,103126,0.160568,0.218502,0.003656,147.664,-56.40556,45742523,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.947616666666667,9.75,73,50,0.263555171428571,0.152184823479385
"2719",108105,2010-01-06,2010-04-17,"01/06/2010","C",1200,15,16.3,1250,371,0.169908,0.26643,0.003255,193.9661,-55.24776,46513288,1,NA,1,"CBOE S&P 500 INDEX","I","E",1137.14,0.947616666666667,15.65,101,69,0.277472771428571,0.16024911182472
"6734",108105,2010-01-13,2010-02-20,"01/13/2010","C",1075,73.8,76.8,310,9241,0.208576,0.834034,0.003291,88.87083,-76.18527,45589738,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.0657488372093,75.3,38,25,0.23941325,0.183708025212582
"6805",108105,2010-01-13,2010-02-20,"01/13/2010","C",1125,33.8,35.6,9844,33999,0.170892,0.628906,0.006127,135.5495,-104.0732,45586189,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01838222222222,34.7,38,25,0.23941325,0.159198320764175
"6807",108105,2010-01-13,2010-02-20,"01/13/2010","C",1135,27.4,28.7,559,18456,0.164697,0.567039,0.00662,141.1489,-105.8131,46438717,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00940969162996,28.05,38,25,0.23941325,0.154587761895159
"6809",108105,2010-01-13,2010-02-20,"01/13/2010","C",1145,21.5,22.8,592,3293,0.159384,0.499209,0.006942,143.2475,-105.1524,45426847,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00059388646288,22.15,38,25,0.23941325,0.150609116834677
"6811",108105,2010-01-13,2010-02-20,"01/13/2010","C",1155,16.3,17.6,1130,8403,0.154115,0.427409,0.007063,140.9269,-101.041,46341234,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.991930735930736,16.95,38,25,0.23941325,0.146461855727058
"6813",108105,2010-01-13,2010-02-20,"01/13/2010","C",1165,11.9,13.2,947,1626,0.149278,0.354212,0.006917,133.6701,-93.64955,46584915,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.983416309012876,12.55,38,25,0.23941325,0.142567727297204
"6815",108105,2010-01-13,2010-02-20,"01/13/2010","C",1175,8.9,9.5,5109,21955,0.146841,0.285686,0.006426,122.1627,-84.88589,46606199,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.975046808510638,9.2,38,25,0.23941325,0.140886883403822
"6817",108105,2010-01-13,2010-02-20,"01/13/2010","C",1185,5.8,6.8,197,15460,0.142315,0.21922,0.005766,106.2264,-71.99571,46335955,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.966818565400844,6.3,38,25,0.23941325,0.137032055947202
"6819",108105,2010-01-13,2010-02-20,"01/13/2010","C",1195,3.9,4.7,367,3758,0.140212,0.164094,0.004899,88.93327,-59.7396,46195517,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.958728033472803,4.3,38,25,0.23941325,0.135456065480903
"6825",108105,2010-01-13,2010-03-20,"01/13/2010","C",1125,43.3,45.1,1318,57588,0.185183,0.589722,0.004355,185.6123,-85.56207,46535430,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01838222222222,44.2,66,45,0.255095142857143,0.169936922939669
"6827",108105,2010-01-13,2010-03-20,"01/13/2010","C",1135,37,38.8,10818,23047,0.180358,0.545515,0.004561,189.3383,-85.86591,45914794,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00940969162996,37.9,66,45,0.255095142857143,0.166478381889445
"6829",108105,2010-01-13,2010-03-20,"01/13/2010","C",1145,31.1,32.9,1920,4000,0.175328,0.498646,0.004726,190.6919,-84.82239,45600612,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.00059388646288,32,66,45,0.255095142857143,0.162668278647753
"6837",108105,2010-01-13,2010-03-20,"01/13/2010","C",1185,13.4,14.7,151,532,0.159074,0.29996,0.004547,166.4591,-69.19511,45815921,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.966818565400844,14.05,66,45,0.255095142857143,0.150080265120236
"6841",108105,2010-01-13,2010-04-17,"01/13/2010","C",1125,50.8,52.6,1500,11879,0.192131,0.572212,0.003527,224.1974,-73.42126,45656795,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01838222222222,51.7,94,64,0.268051142857143,0.17565669188016
"6846",108105,2010-01-13,2010-04-17,"01/13/2010","C",1175,24.3,25.6,273,2802,0.172058,0.379233,0.003831,218.0743,-66.48519,46792570,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.975046808510638,24.95,94,64,0.268051142857143,0.160843172468157
"6852",108105,2010-01-13,2010-06-19,"01/13/2010","C",1130,60.1,63.9,125,1297,0.198523,0.540234,0.002651,293.3442,-57.42052,46376056,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,1.01387610619469,62,157,108,0.312090725274725,0.178443324932128
"6855",108105,2010-01-13,2010-06-19,"01/13/2010","C",1170,39.4,41.7,3050,3050,0.185219,0.426382,0.002816,290.692,-54.62226,45881911,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.979213675213675,40.55,157,108,0.312090725274725,0.169272162113955
"7423",108105,2010-01-13,2010-02-20,"01/13/2010","C",1205,2.5,3.1,472,6320,0.137801,0.117409,0.00397,70.83192,-46.99653,46249853,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.950771784232365,2.8,38,25,0.23941325,0.133497796217774
"7425",108105,2010-01-13,2010-02-20,"01/13/2010","C",1215,1.55,2.15,778,7168,0.1374,0.083325,0.003099,55.13049,-36.63738,46893343,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.942946502057613,1.85,38,25,0.23941325,0.133443957047753
"7427",108105,2010-01-13,2010-02-20,"01/13/2010","C",1225,1.3,1.5,1558,25985,0.141897,0.064039,0.002454,45.07566,-31.06966,46346612,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.935248979591837,1.4,38,25,0.23941325,0.138143282839555
"7432",108105,2010-01-13,2010-02-20,"01/13/2010","C",1250,0.35,0.6,3733,13664,0.142783,0.024859,0.001132,20.92265,-14.6186,44980347,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.916544,0.475,38,25,0.23941325,0.139575719162486
"7442",108105,2010-01-13,2010-02-20,"01/13/2010","C",1200,3.5,3.9,10923,52343,0.141619,0.144242,0.004454,81.66415,-55.57559,45912770,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.954733333333333,3.7,38,25,0.23941325,0.137046520618952
"7447",108105,2010-01-13,2010-03-20,"01/13/2010","C",1225,4.3,5.1,5590,18513,0.147832,0.134697,0.003053,103.8809,-40.96066,46288398,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.935248979591837,4.7,66,45,0.255095142857143,0.141082075672752
"7450",108105,2010-01-13,2010-03-20,"01/13/2010","C",1240,2.65,3.2,852,1417,0.145109,0.092361,0.002376,79.34045,-30.88997,46777116,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.923935483870968,2.925,66,45,0.255095142857143,0.138941427608108
"7476",108105,2010-01-13,2010-06-19,"01/13/2010","C",1250,12.3,13.9,775,28514,0.163974,0.200794,0.002284,208.7738,-36.19489,46646032,1,NA,1,"CBOE S&P 500 INDEX","I","E",1145.68,0.916544,13.1,157,108,0.312090725274725,0.153437261154134
