"","secid","date","exdate","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility","delta","gamma","vega","theta","optionid","cfadj","forward_price","index_flag","issuer","exercise_style","SPOT","moneyness","price","TM","TTM","interest","own_impvol"
"9747",108105,2015-01-07,2015-02-20,"C",1925,114.3,116.9,121,1028,0.196834,0.776652,0.00217,206.5051,-150.5018,105697028,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.05241558441558,115.6,44,30,0.220461428571429,0.180734196287103
"9766",108105,2015-01-07,2015-02-20,"C",2020,44.2,46.4,935,985,0.158987,0.519307,0.003597,276.5246,-171.9424,105728779,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,1.00292079207921,45.3,44,30,0.220461428571429,0.15089291539218
"9772",108105,2015-01-07,2015-02-20,"C",2050,27.3,29.3,569,23516,0.145417,0.402615,0.003822,268.7213,-154.5063,105697033,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.988243902439024,28.3,44,30,0.220461428571429,0.138890643780377
"9777",108105,2015-01-07,2015-02-20,"C",2075,16.6,18.5,770,29376,0.136071,0.299479,0.003668,241.3296,-130.942,105697034,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.97633734939759,17.55,44,30,0.220461428571429,0.130598904987953
"9782",108105,2015-01-07,2015-02-20,"C",2100,9.1,10.4,916,22531,0.127393,0.200927,0.003167,195.0668,-99.81821,105697035,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.964714285714286,9.75,44,30,0.220461428571429,0.122783805217372
"9786",108105,2015-01-07,2015-02-20,"C",2120,5,6.3,188,8098,0.121798,0.134519,0.002556,150.5154,-74.02553,105728783,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.95561320754717,5.65,44,30,0.220461428571429,0.117744263037726
"9788",108105,2015-01-07,2015-02-20,"C",2130,3.7,4.5,285,12764,0.118688,0.105515,0.00221,126.8224,-60.91951,105888717,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.95112676056338,4.1,44,30,0.220461428571429,0.114887560660182
"9791",108105,2015-01-07,2015-02-20,"C",2145,2.2,3.3,13599,554,0.117872,0.075923,0.001742,99.30849,-47.54783,106182161,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.944475524475525,2.75,44,30,0.220461428571429,0.114335165262705
"9793",108105,2015-01-07,2015-02-20,"C",2155,1.75,2,7232,7017,0.11486,0.055969,0.001412,78.39458,-36.64422,106237797,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.940092807424594,1.875,44,30,0.220461428571429,0.111533513676236
"9796",108105,2015-01-07,2015-02-20,"C",2170,0.8,1.75,144,13937,0.115689,0.039844,0.001067,59.70956,-28.19865,105888720,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.933594470046083,1.275,44,30,0.220461428571429,0.112537135395146
"9798",108105,2015-01-07,2015-02-20,"C",2180,0.55,1.35,6939,16265,0.115642,0.03081,0.000865,48.35361,-22.86708,105888722,1,NA,1,"CBOE S&P 500 INDEX","E",2025.9,0.929311926605505,0.95,44,30,0.220461428571429,0.11260634816959
