"","secid","date","exdate","cp_flag","strike_price","best_bid","best_offer","volume","open_interest","impl_volatility","delta","gamma","vega","theta","optionid","am_settlement","contract_size","forward_price","index_flag","issuer","exercise_style","SPOT","moneyness","price","TM","TTM","interest","own_impvol"
"162",108105,2019-01-02,2019-01-18,"C",2415,107.5,111.4,427,634,0.233181,0.801913,0.002341,141.3642,-421.3683,124048228,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,1.03934989648033,109.45,16,12,2.48726234285714,0.206992723639963
"175",108105,2019-01-02,2019-01-18,"C",2480,58.9,61.8,1667,3557,0.213154,0.62177,0.003503,193.3048,-517.6688,124048238,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,1.01210887096774,60.35,16,12,2.48726234285714,0.192647182426562
"179",108105,2019-01-02,2019-01-18,"C",2500,46.7,48.3,3838,35917,0.205819,0.55066,0.003776,201.2272,-518.5329,117411058,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,1.004012,47.5,16,12,2.48726234285714,0.18664319288329
"182",108105,2019-01-02,2019-01-18,"C",2515,38.1,39.5,1039,17918,0.200296,0.493013,0.003912,202.8561,-507.5413,124048244,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.998023856858847,38.8,16,12,2.48726234285714,0.182026610764035
"184",108105,2019-01-02,2019-01-18,"C",2525,32.8,34.1,2286,12916,0.196436,0.452941,0.003962,201.4866,-493.7229,117411059,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.994071287128713,33.45,16,12,2.48726234285714,0.1787458702993
"186",108105,2019-01-02,2019-01-18,"C",2535,28,29.2,795,856,0.193032,0.41217,0.003961,197.9735,-476.0772,124048247,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.990149901380671,28.6,16,12,2.48726234285714,0.175861259770218
"191",108105,2019-01-02,2019-01-18,"C",2560,17.8,18.7,517,2220,0.184125,0.309475,0.003762,179.3259,-410.1588,124048251,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.98048046875,18.25,16,12,2.48726234285714,0.168181589746985
"193",108105,2019-01-02,2019-01-18,"C",2570,14.5,15.3,22363,2069,0.180783,0.269754,0.003592,168.1216,-377.1636,124048253,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.976665369649806,14.9,16,12,2.48726234285714,0.165277963945859
"197",108105,2019-01-02,2019-01-18,"C",2590,9.2,9.8,19735,20266,0.174487,0.195979,0.003114,140.6874,-304.0605,124048256,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.969123552123552,9.5,16,12,2.48726234285714,0.159781047840805
"201",108105,2019-01-02,2019-01-18,"C",2610,5.5,5.9,145,822,0.168942,0.133531,0.002506,109.6316,-229.0369,124048259,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.961697318007663,5.7,16,12,2.48726234285714,0.154921093702624
"203",108105,2019-01-02,2019-01-18,"C",2620,4.2,4.5,101,815,0.16686,0.108014,0.002186,94.41993,-194.6783,124048261,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.958026717557252,4.35,16,12,2.48726234285714,0.153109436408152
"205",108105,2019-01-02,2019-01-18,"C",2630,3.2,3.5,164,1277,0.165908,0.08728,0.00188,80.75167,-165.4245,124048262,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.954384030418251,3.35,16,12,2.48726234285714,0.15233031215062
"209",108105,2019-01-02,2019-01-18,"C",2650,1.85,1.95,4072,32896,0.163861,0.054456,0.001324,56.1543,-113.4683,117411064,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.947181132075472,1.9,16,12,2.48726234285714,0.150613136374562
"214",108105,2019-01-02,2019-01-18,"C",2675,0.85,1,186,20004,0.163261,0.029192,0.000801,33.84371,-68.04042,117411065,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.938328971962617,0.925,16,12,2.48726234285714,0.150233431524155
"217",108105,2019-01-02,2019-01-18,"C",2690,0.6,0.75,186,1627,0.166604,0.021707,0.000612,26.40352,-54.12684,124048272,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.933096654275093,0.675,16,12,2.48726234285714,0.153406286094755
"221",108105,2019-01-02,2019-01-18,"C",2710,0.35,0.5,2284,7591,0.169958,0.014112,0.000415,18.28247,-38.19953,124048275,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.926210332103321,0.425,16,12,2.48726234285714,0.156605602747423
"228",108105,2019-01-02,2019-01-18,"C",2745,0.15,0.3,222,4024,0.179443,0.007569,0.000229,10.62206,-23.40204,124048281,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.91440072859745,0.225,16,12,2.48726234285714,0.16551558684053
"231",108105,2019-01-02,2019-01-18,"C",2760,0.15,0.25,119,2242,0.186488,0.006568,0.000194,9.372543,-21.44934,124048283,1,100,2511.210405,1,"CBOE S&P 500 INDEX","E",2510.03,0.90943115942029,0.2,16,12,2.48726234285714,0.172080170463491
"497",108105,2019-01-02,2019-02-15,"C",2450,106.4,109.4,503,3980,0.211259,0.651298,0.002027,317.8282,-303.747,124459571,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,1.02450204081633,107.9,44,31,2.66733514285714,0.197961302914219
"502",108105,2019-01-02,2019-02-15,"C",2475,90.3,92,3704,2190,0.205718,0.600249,0.002175,332.0571,-307.4449,124459576,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,1.01415353535354,91.15,44,31,2.66733514285714,0.193600002848981
"507",108105,2019-01-02,2019-02-15,"C",2500,74.9,76.5,2707,10278,0.20028,0.545041,0.002293,340.8832,-305.8602,124459581,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,1.004012,75.7,44,31,2.66733514285714,0.189187828289378
"511",108105,2019-01-02,2019-02-15,"C",2520,63.5,65,205,767,0.195698,0.498333,0.002363,343.1562,-299.8708,124459585,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.996043650793651,64.25,44,31,2.66733514285714,0.185338229834931
"513",108105,2019-01-02,2019-02-15,"C",2530,58.2,59.6,1801,418,0.193484,0.474282,0.002385,342.4845,-295.4382,124459587,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.992106719367589,58.9,44,31,2.66733514285714,0.183462413665214
"522",108105,2019-01-02,2019-02-15,"C",2575,37.3,38.5,4002,6300,0.183622,0.362894,0.002369,322.8587,-262.6645,124459596,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.974768932038835,37.9,44,31,2.66733514285714,0.174930067814001
"531",108105,2019-01-02,2019-02-15,"C",2620,21.9,22.7,19190,907,0.174624,0.254411,0.00213,276.1017,-212.4912,124459605,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.958026717557252,22.3,44,31,2.66733514285714,0.166988598003881
"535",108105,2019-01-02,2019-02-15,"C",2640,16.8,17.5,158,1262,0.171334,0.210788,0.001956,248.6766,-187.3803,124459609,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.950768939393939,17.15,44,31,2.66733514285714,0.164082725925341
"540",108105,2019-01-02,2019-02-15,"C",2665,11.7,12.3,19159,123,0.167458,0.161704,0.001697,210.9573,-154.9874,124459614,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.94184990619137,12,44,31,2.66733514285714,0.160634312340973
"547",108105,2019-01-02,2019-02-15,"C",2700,6.9,7.3,1153,12958,0.163911,0.107145,0.001306,158.8916,-113.908,124459621,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.929640740740741,7.1,44,31,2.66733514285714,0.157553847000228
"550",108105,2019-01-02,2019-02-15,"C",2715,5.4,5.8,177,1136,0.162711,0.088416,0.001143,138.011,-98.09657,124459624,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.924504604051565,5.6,44,31,2.66733514285714,0.156522220038358
"557",108105,2019-01-02,2019-02-15,"C",2750,3.2,3.3,9736,18367,0.161734,0.055949,0.000809,97.10876,-68.4314,124459631,1,100,2513.948566,1,"CBOE S&P 500 INDEX","E",2510.03,0.912738181818182,3.25,44,31,2.66733514285714,0.155839492067772
"799",108105,2019-01-02,2019-03-15,"C",2465,115,116.8,380,5680,0.201359,0.608092,0.001717,423.7437,-237.2345,126800146,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,1.0182677484787,115.9,72,50,2.71754189285714,0.189562476828082
"801",108105,2019-01-02,2019-03-15,"C",2475,108.7,110.5,14038,12683,0.199802,0.590973,0.00175,428.5991,-237.6106,118526860,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,1.01415353535354,109.6,72,50,2.71754189285714,0.188418003078011
"803",108105,2019-01-02,2019-03-15,"C",2485,102.6,104.2,1693,7224,0.198093,0.573507,0.001782,432.689,-237.3738,126800149,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,1.01007243460765,103.4,72,50,2.71754189285714,0.187101220976135
"805",108105,2019-01-02,2019-03-15,"C",2495,96.5,98.2,3139,8221,0.19634,0.555666,0.001812,435.9747,-236.629,126800151,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,1.00602404809619,97.35,72,50,2.71754189285714,0.185722549135988
"807",108105,2019-01-02,2019-03-15,"C",2505,90.7,92.3,6568,11782,0.194648,0.53746,0.001838,438.4052,-235.4775,126800152,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,1.00200798403194,91.5,72,50,2.71754189285714,0.184387070840378
"809",108105,2019-01-02,2019-03-15,"C",2515,85,86.6,4011,1630,0.192894,0.518922,0.001861,439.9276,-233.7675,126800154,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,0.998023856858847,85.8,72,50,2.71754189285714,0.182972609325849
"811",108105,2019-01-02,2019-03-15,"C",2525,79.5,81,1405,3760,0.191067,0.500065,0.001881,440.4939,-231.4775,118526862,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,0.994071287128713,80.25,72,50,2.71754189285714,0.181471823575508
"821",108105,2019-01-02,2019-03-15,"C",2575,54.9,56.2,127,11283,0.182387,0.402531,0.001913,427.5672,-212.8821,118526864,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,0.974768932038835,55.55,72,50,2.71754189285714,0.174215614279171
"828",108105,2019-01-02,2019-03-15,"C",2610,40.7,41.8,305,3951,0.176416,0.333259,0.001859,401.849,-192.6471,126800169,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,0.961697318007663,41.25,72,50,2.71754189285714,0.16907240101638
"831",108105,2019-01-02,2019-03-15,"C",2625,35.5,36.5,508,10282,0.174171,0.304349,0.001812,386.8439,-182.7515,118526866,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,0.956201904761905,36,72,50,2.71754189285714,0.16714007925364
"846",108105,2019-01-02,2019-03-15,"C",2700,16.4,16.9,1540,24030,0.164579,0.175256,0.001415,285.3591,-126.3355,118526869,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,0.929640740740741,16.65,72,50,2.71754189285714,0.1588162393044
"856",108105,2019-01-02,2019-03-15,"C",2750,9.1,9.6,616,37897,0.160599,0.111749,0.001069,210.3718,-90.45972,118526871,1,100,2516.776899,1,"CBOE S&P 500 INDEX","E",2510.03,0.912738181818182,9.35,72,50,2.71754189285714,0.155437903072182
